ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-02-01,17185.489437487642,-78230.32431861272,129743.411982707,17185.489437487642,17185.489437487642,13750.326871357047,13750.326871357047,13750.326871357047,13750.326871357047,13750.326871357047,13750.326871357047,0.0,0.0,0.0,30935.81630884469
2020-02-02,19865.36549230804,-80264.33563286836,135225.8465815075,19865.36549230804,19865.36549230804,7298.791977867791,7298.791977867791,7298.791977867791,7298.791977867791,7298.791977867791,7298.791977867791,0.0,0.0,0.0,27164.15747017583
2020-02-03,22545.241547128433,-92767.09817404729,119373.81111482551,22545.241547128433,22545.241547128433,-2102.7554545867083,-2102.7554545867083,-2102.7554545867083,-2102.7554545867083,-2102.7554545867083,-2102.7554545867083,0.0,0.0,0.0,20442.486092541723
2020-02-04,25225.11850204268,-96107.89442290372,115805.9508412898,25225.11850204268,25225.11850204268,-16846.239960720355,-16846.239960720355,-16846.239960720355,-16846.239960720355,-16846.239960720355,-16846.239960720355,0.0,0.0,0.0,8378.878541322323
2020-02-05,27904.995456956924,-87758.85284097995,125408.82922806958,27904.995456956924,27904.995456956924,-11063.55830727317,-11063.55830727317,-11063.55830727317,-11063.55830727317,-11063.55830727317,-11063.55830727317,0.0,0.0,0.0,16841.437149683756
2020-02-06,30584.87241187117,-83711.10062976548,131386.0139374568,30584.87241187117,30584.87241187117,-1117.5438632926807,-1117.5438632926807,-1117.5438632926807,-1117.5438632926807,-1117.5438632926807,-1117.5438632926807,0.0,0.0,0.0,29467.328548578487
2020-02-07,33264.74936678541,-65109.048518233976,143424.81692656965,33264.74936678541,33264.74936678541,10080.978736652623,10080.978736652623,10080.978736652623,10080.978736652623,10080.978736652623,10080.978736652623,0.0,0.0,0.0,43345.72810343803
2020-02-08,35944.62632169966,-55274.23983240132,152449.13821419573,35944.62632169966,35944.62632169966,13750.326871372326,13750.326871372326,13750.326871372326,13750.326871372326,13750.326871372326,13750.326871372326,0.0,0.0,0.0,49694.95319307198
2020-02-09,38624.5032766139,-56203.58912006435,145953.09502735463,38624.5032766139,38624.5032766139,7298.791977849764,7298.791977849764,7298.791977849764,7298.791977849764,7298.791977849764,7298.791977849764,0.0,0.0,0.0,45923.295254463665
2020-02-10,41304.37964207692,-68747.528347734,141399.2307249948,41304.37964207692,41304.37964207692,-2102.755454596327,-2102.755454596327,-2102.755454596327,-2102.755454596327,-2102.755454596327,-2102.755454596327,0.0,0.0,0.0,39201.62418748059
